city,lat,lon
Abengibre,39.2089284,-1.5420192
Quer,40.6071052,-3.2779955
Ronda,36.7421339,-5.1665916
Parcent,38.7452557,-0.0653423
Torrejon de la calzada,40.2006804,-3.7993298
Sant antoni de vilamajor ,41.6735604,2.4012202
Castellbisbal,41.4765136,1.9832978
Epila,41.5984995,-1.2796166
"El campello,",38.427416,-0.3983685
Porriño,42.1618812,-8.6202683
Morella,40.6188277,-0.0998026
Parla,40.2373952,-3.7718902
Villarejo de salvanes,40.1341072,-3.250227440630412
Amurrio,43.0525066,-3.000896
Pinseque,41.7378446,-1.1013851
Zamora,41.6857693,-5.942315018340977
Membrio,39.5268442,-7.0543476
Toreno,42.6965966,-6.5127579
Llanes,43.4211205,-4.7530835
Villar de la encina,39.6367049,-2.5223557
La felguera,43.3085595,-5.6919228
Avilés,43.5554436,-5.9222466
Sant andreu de la barca ,41.4518183,1.972476
Soto del barco,43.5306599,-6.0727549
O grove,42.4693872,-8.8949654
San antonio de benagéber,39.5619478,-0.5001275
Aroche,37.9436167,-6.9539589
Huércal de almería ,36.8836087,-2.4398613
Cabañas de la sagra,40.005774,-3.9479133
Calpe,38.6447979,0.0454139
Mutxamel,38.4134445,-0.4451504
Yunquera,36.7346372,-4.9205956
Villarreal,10.3065364,-85.8035409
Benifla,38.9282759,-0.1884609
A pobra do caramiñal,42.6046249,-8.9402045
Villaverde del rio,37.591905,-5.875939
Beniaján,37.9752568,-1.0711116
Los hinojosos,39.6044249,-2.8261235
Ontinyent,38.8208705,-0.6099976
Platja d’aro,41.8144337,3.0325432
Paços de ferreira,41.2896264,-8.378398223742572
Puebla de hijar,16.976835,44.472504
Calahorra,42.3035212,-1.9648758
Brenes,37.5494873,-5.8724046
Oyon,42.506553,-2.4357886
La xara,38.828518,0.0629695
San javier ,28.61575515,-109.75170045897028
Cullera,39.1647217,-0.2542313
"Arroyo de la miel, benalmádena",36.5990832,-4.5350332
Mundaka,43.407824,-2.6992833
Ocaña ,39.9586665,-3.5007717
Las tablas ,7.65163785,-80.31489041885015
Zierbena,43.3518319,-3.082039
Vilassar de mar,41.5064041,2.3913883
Sama de langreo,43.2931634,-5.6807888
El secadero,28.0844978,-15.4382882
Carrion de calatrava,39.0183225,-3.8168257
Villar del arzobispo,39.7337011,-0.8273481
Pinar de puenteviejo,40.8609724,-4.55353
Vic,-36.5986096,144.6780052
Etxarri aranatz,42.907578,-2.0648822
Casetas,41.7227337,-1.0204905
Aldeamayor de san martin,41.5121927,-4.6398863
Camas,37.4020115,-6.0331571
Andujar,38.0392362,-4.0505603
Santa maría del águila ,36.780645,-2.7736816
Campos,-21.7558619,-41.3326895
Estepona,36.4268068,-5.1468484
Villapresente,43.36426,-4.10544
Leça do balio,41.2129235,-8.628658
Aguamarga,36.9407609,-1.9332792
Lodosa,42.4241886,-2.0785646
Priego de cordoba,37.4384292,-4.1980422
